,code_ligne,variante,stop_1,stop_2,distance,distance_m
110,003t,2,0626,0616,0.0,547.768199149969
111,003t,2,0616,0606,0.0,478.1673347270807
112,003t,2,0606,0506,0.0,493.44705896377576
113,003t,2,0506,0516,0.0,587.218681582951
114,003t,2,0516,0526,0.0,550.7349453230513
115,003t,2,0526,6177,0.0,740.3087193867163
116,003t,2,6177,6179,0.0,221.04524423746375
117,003t,2,6179,2537F,0.0,270.4958410031474
118,003t,2,2537F,2200F,0.0,436.71107153357684
119,003t,2,2200F,2337F,0.0,775.0041290212636
120,003t,2,2337F,5770F,0.0,249.34802986989126
121,003t,2,5770F,5771,0.0,844.5886572764283
122,003t,2,5771,5772,0.0,557.2297551279903
123,003t,2,5772,5773,0.0,472.49232798004243
124,003t,2,5773,5806,0.0,447.8359074482527
125,003t,2,5806,5776,0.0,831.5726065714287
126,004t,1,0531,0511,0.0,504.5180373385987
127,004t,1,0511,0501,0.0,586.8816320179171
128,004t,1,0501,0601,0.0,497.0120722879878
129,004t,1,0601,0611,0.0,477.3311219688069
130,004t,1,0611,0621,0.0,544.192061684108
131,004t,1,0621,0702,0.0,458.956424946857
132,004t,1,0702,0703,0.0,538.0612046970085
133,004t,1,0703,0704,0.0,402.3038155424285
134,004t,1,0704,0705,0.0,453.1662167461343
135,004t,1,0705,0706,0.0,525.2980106568081
136,004t,1,0706,6253,0.0,414.1545605205863
137,004t,1,6253,6423F,0.0,535.0240742246967
138,004t,1,6423F,5024,0.0,372.87981978112464
139,004t,1,5024,5025,0.0,379.00660944104374
140,004t,1,5025,5026,0.0,399.6180801715612
141,004t,1,5026,1984G,0.0,429.17764387255346
142,004t,1,1984G,5952F,0.0,708.34585479129
143,004t,1,5952F,5953F,0.0,375.9494646890723
144,004t,1,5953F,5920H,0.0,256.1637366997971
145,004t,1,5920H,4502F,0.0,174.13213373756292
146,004t,2,4501F,5921G,0.0,173.49792505963305
147,004t,2,5921G,5916F,0.0,229.24441105510076
148,004t,2,5916F,5917F,0.0,378.96965577734585
149,004t,2,5917F,1985G,0.0,715.3601610377846
150,004t,2,1985G,5058F,0.0,437.5138854939229
151,004t,2,5058F,5059,0.0,469.73507427059997
152,004t,2,5059,5060,0.0,391.72772431882356
153,004t,2,5060,6424F,0.0,400.4696867429474
154,004t,2,6424F,6209,0.0,427.59092600287954
155,004t,2,6209,0722,0.0,501.52268144122854
156,004t,2,0722,0723,0.0,447.1599266481736
157,004t,2,0723,0724,0.0,433.99126719324073
158,004t,2,0724,0725,0.0,387.79017522366547
159,004t,2,0725,0726,0.0,565.650952443289
160,004t,2,0726,0626,0.0,505.37214011063173
161,004t,2,0626,0616,0.0,547.768199149969
162,004t,2,0616,0606,0.0,478.1673347270807
163,004t,2,0606,0506,0.0,493.44705896377576
164,004t,2,0506,0516,0.0,587.218681582951
165,004t,2,0516,0526,0.0,550.7349453230513
166,005m,1,8642,8652,0.0,1011.9888240489804
167,005m,1,8652,8662,0.0,610.0357038731422
168,005m,1,8662,8672,0.0,599.7667963467161
169,005m,1,8672,8682,0.0,502.91431675782326
170,005m,1,8682,8692,0.0,540.1863104522229
171,005m,1,8692,8702,0.0,673.9608668164768
172,005m,1,8702,8712,0.0,732.2001707183751
173,005m,1,8712,8722,0.0,623.5021892503457
174,005m,1,8722,8732,0.0,592.0779171697133
175,005m,1,8732,8742,0.0,507.72115378421915
176,005m,1,8742,8292,0.0,828.0493946619498
177,005m,1,8292,8282,0.0,586.4870501554096
178,005m,1,8282,8272,0.0,611.5878105390779
179,005m,1,8272,8012,0.0,390.80006397134593
180,005m,1,8012,8022,0.0,587.697286024009
181,005m,1,8022,8032,0.0,305.01304890119184
182,005m,1,8032,8042,0.0,469.35663412804814
183,005m,1,8042,8052,0.0,591.4724676601497
184,005m,1,8052,8062,0.0,314.9313099709278
185,005m,1,8062,8072,0.0,1218.6788789504749
186,005m,1,8072,8202,0.0,738.1993294497184
187,005m,1,8202,8212,0.0,647.8796956225619
188,005m,1,8212,8222,0.0,737.8179992383068
189,005m,1,8222,8232,0.0,313.02768248191137
190,005m,1,8232,8242,0.0,545.0563365377893
191,005m,1,8242,8252,0.0,866.6628237094469
192,005m,1,8252,8262,0.0,526.3207482134677
193,005m,2,8261,8251,0.0,549.3198430786899
194,005m,2,8251,8241,0.0,840.232789172155
195,005m,2,8241,8231,0.0,527.0700238108747
196,005m,2,8231,8221,0.0,334.5314484469315
197,005m,2,8221,8211,0.0,715.6769732218781
198,005m,2,8211,8201,0.0,659.0452488258944
199,005m,2,8201,8071,0.0,708.0201197706109
200,005m,2,8071,8061,0.0,1238.3250058042354
201,005m,2,8061,8051,0.0,288.6846203038862
202,005m,2,8051,8041,0.0,591.3145440457108
203,005m,2,8041,8031,0.0,471.50656411126556
204,005m,2,8031,8021,0.0,297.15963723222757
205,005m,2,8021,8011,0.0,588.8175438962522
206,005m,2,8011,8271,0.0,399.32339024905525
207,005m,2,8271,8281,0.0,615.1580691172092
208,005m,2,8281,8291,0.0,613.4318544060023
209,005m,2,8291,8741,0.0,788.2594750461298
210,005m,2,8741,8731,0.0,524.5644002408317
211,005m,2,8731,8721,0.0,565.3760960634912
212,005m,2,8721,8711,0.0,637.9315088628289
213,005m,2,8711,8701,0.0,729.2766004747286
214,005m,2,8701,8691,0.0,664.3972080013688
215,005m,2,8691,8681,0.0,553.7403362587711
216,005m,2,8681,8671,0.0,506.1772811970233
217,005m,2,8671,8661,0.0,622.118766796177
218,005m,2,8661,8651,0.0,598.9724618043863
219,005m,2,8651,8641,0.0,1035.8287213627666
220,006m,1,8834,8824,0.0,537.8718899515062
221,006m,1,8824,8814,0.0,859.5562227103168
222,006m,1,8814,8804,0.0,563.818765207377
223,006m,1,8804,8794,0.0,811.0140381029406
224,006m,1,8794,8784,0.0,704.5707913332769
225,006m,1,8784,8774,0.0,718.1160421547366
226,006m,1,8774,8764,0.0,750.365464290575
227,006m,1,8764,8754,0.0,788.822369104715
228,006m,1,8754,8744,0.0,417.34236545074185
229,006m,1,8744,8382,0.0,506.43879195812
230,006m,1,8382,8372,0.0,496.1429733453886
231,006m,1,8372,8362,0.0,672.3953673248848
232,006m,1,8362,8352,0.0,697.4901432995472
233,006m,1,8352,8342,0.0,454.2006715098451
234,006m,1,8342,8332,0.0,404.5108156774056
235,006m,1,8332,8322,0.0,433.53675738049566
236,006m,1,8322,8312,0.0,600.4657525621338
237,006m,1,8312,8302,0.0,460.87509153781735
238,006m,1,8302,8402,0.0,536.5838611065429
239,006m,1,8402,8412,0.0,483.7516925034873
240,006m,1,8412,8422,0.0,538.9987198500647
241,006m,1,8422,8432,0.0,515.8947373253376
242,006m,1,8432,8442,0.0,538.2178926791886
243,006m,1,8442,8462,0.0,897.8233233771408
244,006m,1,8462,8472,0.0,681.2044993979387
245,006m,2,8471,8461,0.0,651.2980346968479
246,006m,2,8461,8441,0.0,899.7117427265322
247,006m,2,8441,8431,0.0,526.9700940281374
248,006m,2,8431,8421,0.0,527.1006355526265
249,006m,2,8421,8411,0.0,538.2729140501284
250,006m,2,8411,8401,0.0,477.8615908398534
251,006m,2,8401,8301,0.0,541.6123429169465
252,006m,2,8301,8311,0.0,473.43085028334156
253,006m,2,8311,8321,0.0,592.6419492408517
254,006m,2,8321,8331,0.0,448.3973349608607
255,006m,2,8331,8341,0.0,397.6069667397796
256,006m,2,8341,8351,0.0,432.16001666049345
257,006m,2,8351,8361,0.0,704.3715070898313
258,006m,2,8361,8371,0.0,683.6315528118848
259,006m,2,8371,8381,0.0,473.25785783228963
260,006m,2,8381,8743,0.0,499.19051473359355
261,006m,2,8743,8753,0.0,444.86376566316665
262,006m,2,8753,8763,0.0,827.6722177287204
