,route_id,stop_id,inter,inter_day,delay
249,50,2608,2021-09-06 15:00:00,6,189394
254,50,2611,2021-09-06 15:00:00,6,713293
255,50,2664,2021-09-06 15:00:00,6,978604
257,50,5719,2021-09-06 15:00:00,6,1412755
258,50,5719,2021-09-06 15:00:00,6,692755
259,50,5720,2021-09-06 15:00:00,6,192290
261,50,5720,2021-09-06 15:00:00,6,680739
262,50,5721,2021-09-06 15:00:00,6,189775
265,50,5915,2021-09-06 15:00:00,6,668804
268,50,9651,2021-09-06 15:00:00,6,1386617
272,50,9654,2021-09-06 15:00:00,6,309390
273,50,9654,2021-09-06 15:00:00,6,148589
278,50,9656,2021-09-06 15:00:00,6,291370
281,50,9657,2021-09-06 15:00:00,6,280604
290,50,9660,2021-09-06 15:00:00,6,297167
293,50,9660,2021-09-06 15:00:00,6,742739
314,50,9651,2021-09-06 15:30:00,6,666617
320,50,9656,2021-09-06 15:30:00,6,746338
322,50,9657,2021-09-06 15:30:00,6,723806
329,50,1085,2021-09-06 18:30:00,6,135045
333,50,2659,2021-09-06 18:30:00,6,216811
335,50,2661,2021-09-06 18:30:00,6,217554
337,50,2662B,2021-09-06 18:30:00,6,273228
339,50,2663,2021-09-06 18:30:00,6,279562
341,50,2665,2021-09-06 18:30:00,6,283264
342,50,2669,2021-09-06 18:30:00,6,124082
343,50,2669,2021-09-06 18:30:00,6,294362
348,50,5152,2021-09-06 18:30:00,6,287420
350,50,5161,2021-09-06 18:30:00,6,148371
351,50,5161,2021-09-06 18:30:00,6,297163
354,50,9658,2021-09-06 18:30:00,6,197815
366,50,9678,2021-09-06 18:30:00,6,510127
368,50,9679,2021-09-06 18:30:00,6,243217
369,50,9679,2021-09-06 18:30:00,6,469358
371,50,9680,2021-09-06 18:30:00,6,476100
375,50,9683,2021-09-06 18:30:00,6,516649
377,50,9685,2021-09-06 18:30:00,6,477054
378,50,1015,2021-09-06 19:00:00,6,122257
379,50,1085,2021-09-06 19:00:00,6,310553
381,50,2500,2021-09-06 19:00:00,6,303376
383,50,2524,2021-09-06 19:00:00,6,278042
391,50,2546,2021-09-06 19:00:00,6,123376
404,50,2661,2021-09-06 19:00:00,6,1046191
411,50,2670,2021-09-06 19:00:00,6,269046
413,50,2671,2021-09-06 19:00:00,6,285383
415,50,2672,2021-09-06 19:00:00,6,255280
418,50,5159,2021-09-06 19:00:00,6,243787
422,50,5720,2021-09-06 19:00:00,6,143262
423,50,5721,2021-09-06 19:00:00,6,140058
424,50,5757,2021-09-06 19:00:00,6,244377
430,50,9658,2021-09-06 19:00:00,6,231222
437,50,9677,2021-09-06 19:00:00,6,1044633
438,50,9677,2021-09-06 19:00:00,6,564633
439,50,9678,2021-09-06 19:00:00,6,533837
440,50,9678,2021-09-06 19:00:00,6,364620
441,50,9678,2021-09-06 19:00:00,6,483842
442,50,9679,2021-09-06 19:00:00,6,284292
443,50,9679,2021-09-06 19:00:00,6,526865
445,50,9679,2021-09-06 19:00:00,6,1473227
446,50,9680,2021-09-06 19:00:00,6,275602
447,50,9680,2021-09-06 19:00:00,6,489431
448,50,9680,2021-09-06 19:00:00,6,363122
452,50,9682,2021-09-06 19:00:00,6,376984
455,50,9683,2021-09-06 19:00:00,6,528361
457,50,9685,2021-09-06 19:00:00,6,291222
458,50,9685,2021-09-06 19:00:00,6,480662
459,50,9685,2021-09-06 19:00:00,6,399907
462,15,5007F,2021-09-06 19:00:00,6,160919
463,15,5008F,2021-09-06 19:00:00,6,139377
464,15,5009F,2021-09-06 19:00:00,6,128559
473,50,1015,2021-09-06 19:30:00,6,276818
474,50,1085,2021-09-06 19:30:00,6,901535
476,50,2500,2021-09-06 19:30:00,6,908622
477,50,2524,2021-09-06 19:30:00,6,897229
481,50,2539,2021-09-06 19:30:00,6,333603
483,50,2544,2021-09-06 19:30:00,6,318321
486,50,2546,2021-09-06 19:30:00,6,296150
487,50,2548,2021-09-06 19:30:00,6,304676
489,50,2553,2021-09-06 19:30:00,6,295147
491,50,2555,2021-09-06 19:30:00,6,286639
492,50,2608,2021-09-06 19:30:00,6,129315
493,50,2608,2021-09-06 19:30:00,6,291851
495,50,2609,2021-09-06 19:30:00,6,903872
497,50,2611,2021-09-06 19:30:00,6,216775
498,50,2659,2021-09-06 19:30:00,6,133833
499,50,2659,2021-09-06 19:30:00,6,261343
501,50,2661,2021-09-06 19:30:00,6,250803
503,50,2662B,2021-09-06 19:30:00,6,237725
507,50,2664,2021-09-06 19:30:00,6,248185
512,50,2670,2021-09-06 19:30:00,6,846543
514,50,2671,2021-09-06 19:30:00,6,920056
516,50,2672,2021-09-06 19:30:00,6,852745
520,50,5159,2021-09-06 19:30:00,6,916053
522,50,5161,2021-09-06 19:30:00,6,936639
524,50,5719,2021-09-06 19:30:00,6,159052
525,50,5719,2021-09-06 19:30:00,6,313718
526,50,5720,2021-09-06 19:30:00,6,147337
527,50,5720,2021-09-06 19:30:00,6,300130
528,50,5721,2021-09-06 19:30:00,6,152396
529,50,5721,2021-09-06 19:30:00,6,284414
530,50,5757,2021-09-06 19:30:00,6,911821
533,50,5915,2021-09-06 19:30:00,6,296770
535,50,9651,2021-09-06 19:30:00,6,172763
536,50,9652,2021-09-06 19:30:00,6,128042
537,50,9652,2021-09-06 19:30:00,6,212841
538,50,9654,2021-09-06 19:30:00,6,180945
539,50,9654,2021-09-06 19:30:00,6,221971
542,50,9656,2021-09-06 19:30:00,6,1094948
543,50,9656,2021-09-06 19:30:00,6,194948
544,50,9657,2021-09-06 19:30:00,6,134260
545,50,9657,2021-09-06 19:30:00,6,135308
546,50,9658,2021-09-06 19:30:00,6,142699
547,50,9658,2021-09-06 19:30:00,6,142699
548,50,9658,2021-09-06 19:30:00,6,136053
549,50,9658,2021-09-06 19:30:00,6,136053
555,50,9660,2021-09-06 19:30:00,6,197261
556,50,9660,2021-09-06 19:30:00,6,250996
561,50,9679,2021-09-06 19:30:00,6,968227
569,50,9683,2021-09-06 19:30:00,6,140668
572,15,0722,2021-09-06 19:30:00,6,184826
574,15,0724,2021-09-06 19:30:00,6,225033
584,15,5058F,2021-09-06 19:30:00,6,244766
585,15,5058F,2021-09-06 19:30:00,6,147748
586,15,5059,2021-09-06 19:30:00,6,174983
587,15,5060,2021-09-06 19:30:00,6,221792
590,15,5074F,2021-09-06 19:30:00,6,675039
591,15,5076F,2021-09-06 19:30:00,6,669096
593,15,6209,2021-09-06 19:30:00,6,217458
594,15,6424F,2021-09-06 19:30:00,6,197575
605,50,1085,2021-09-06 20:00:00,6,282103
606,50,1085,2021-09-06 20:00:00,6,323539
608,50,2500,2021-09-06 20:00:00,6,281220
609,50,2524,2021-09-06 20:00:00,6,307819
610,50,2524,2021-09-06 20:00:00,6,324106
625,50,2659,2021-09-06 20:00:00,6,270798
626,50,2661,2021-09-06 20:00:00,6,1191813
627,50,2662B,2021-09-06 20:00:00,6,221083
628,50,2663,2021-09-06 20:00:00,6,267167
629,50,2663,2021-09-06 20:00:00,6,189809
631,50,2665,2021-09-06 20:00:00,6,293428
632,50,2665,2021-09-06 20:00:00,6,192360
633,50,2669,2021-09-06 20:00:00,6,274605
634,50,2669,2021-09-06 20:00:00,6,193893
635,50,2670,2021-09-06 20:00:00,6,257337
636,50,2670,2021-09-06 20:00:00,6,323275
637,50,2671,2021-09-06 20:00:00,6,241314
638,50,2671,2021-09-06 20:00:00,6,314866
639,50,2672,2021-09-06 20:00:00,6,1209145
640,50,2672,2021-09-06 20:00:00,6,309145
641,50,5152,2021-09-06 20:00:00,6,276119
642,50,5152,2021-09-06 20:00:00,6,278303
643,50,5159,2021-09-06 20:00:00,6,318310
644,50,5159,2021-09-06 20:00:00,6,366212
645,50,5161,2021-09-06 20:00:00,6,307557
646,50,5161,2021-09-06 20:00:00,6,290176
647,50,5719,2021-09-06 20:00:00,6,1216770
649,50,5720,2021-09-06 20:00:00,6,1222927
653,50,5757,2021-09-06 20:00:00,6,329439
654,50,5757,2021-09-06 20:00:00,6,366549
657,50,9651,2021-09-06 20:00:00,6,961671
659,50,9652,2021-09-06 20:00:00,6,203552
661,50,9654,2021-09-06 20:00:00,6,235787
665,50,9656,2021-09-06 20:00:00,6,208198
667,50,9657,2021-09-06 20:00:00,6,201019
668,50,9657,2021-09-06 20:00:00,6,1164832
669,50,9658,2021-09-06 20:00:00,6,193097
670,50,9658,2021-09-06 20:00:00,6,193097
679,50,9660,2021-09-06 20:00:00,6,219735
681,50,9677,2021-09-06 20:00:00,6,132350
683,50,9678,2021-09-06 20:00:00,6,133941
685,50,9679,2021-09-06 20:00:00,6,128195
687,50,9680,2021-09-06 20:00:00,6,136428
689,50,9682,2021-09-06 20:00:00,6,162334
691,50,9683,2021-09-06 20:00:00,6,169457
693,50,9685,2021-09-06 20:00:00,6,143688
701,15,0725,2021-09-06 20:00:00,6,218900
704,15,0726,2021-09-06 20:00:00,6,233605
710,15,2401F,2021-09-06 20:00:00,6,173943
713,15,2848F,2021-09-06 20:00:00,6,121671
715,15,2851F,2021-09-06 20:00:00,6,160158
716,15,2869,2021-09-06 20:00:00,6,301671
719,15,5006,2021-09-06 20:00:00,6,309537
722,15,5007F,2021-09-06 20:00:00,6,291059
724,15,5008F,2021-09-06 20:00:00,6,262974
726,15,5009F,2021-09-06 20:00:00,6,252862
728,15,5010,2021-09-06 20:00:00,6,298695
731,15,5011F,2021-09-06 20:00:00,6,238327
733,15,5013F,2021-09-06 20:00:00,6,258282
734,15,5014,2021-09-06 20:00:00,6,218377
735,15,5015,2021-09-06 20:00:00,6,199611
736,15,5015,2021-09-06 20:00:00,6,405129
737,15,5058F,2021-09-06 20:00:00,6,147748
740,15,5059,2021-09-06 20:00:00,6,122589
748,15,5074F,2021-09-06 20:00:00,6,813206
750,15,5076F,2021-09-06 20:00:00,6,806536
752,15,5077,2021-09-06 20:00:00,6,651097
753,15,5077,2021-09-06 20:00:00,6,822107
755,15,5078F,2021-09-06 20:00:00,6,598014
756,15,5078F,2021-09-06 20:00:00,6,802493
758,15,5079,2021-09-06 20:00:00,6,598304
759,15,5079,2021-09-06 20:00:00,6,817106
763,15,5399F,2021-09-06 20:00:00,6,286027
766,15,5402,2021-09-06 20:00:00,6,203919
769,15,5403,2021-09-06 20:00:00,6,293684
776,15,6601,2021-09-06 20:00:00,6,213761
778,15,6604F,2021-09-06 20:00:00,6,128513
